idx,kind,digits,truth,answer_nl,correct_nl,answer_code,correct_code,answer_code_exec,correct_code_exec,problem
0,sub,16,2196427266728182,0,0,2196427266735122,0,"{'ok': True, 'value': 2196427266728182, 'stdout': '2196427266728182\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.15593981742858887}",1,Compute: 9454938309536112 - 7258511042807930
1,mul,4,51240510,51757490,0,137308,0,"{'ok': True, 'value': 51240510, 'stdout': '51240510\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10768747329711914}",1,Compute: 8583 * 5970
2,rod,2,3,3,1,3,1,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_j1ztdfcc/main.py"", line 10, in <module>\n    result = max_revenue(N, P)\n  File ""/tmp/cot_exec_j1ztdfcc/main.py"", line 5, in max_revenue\n    dp[i] = max(dp[i], P[i] + dp[i - P[i]])\nIndexError: list index out of range\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.09413814544677734}",0,"Rod cutting: Given a rod of length N and price list P[1..N], compute the maximum obtainable revenue.
N = 2
P = [1, 3]"
3,knap,32,1700,583,0,460,0,"{'ok': True, 'value': 1700, 'stdout': '1700\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.11486625671386719}",1,"0/1 Knapsack: Given item weights W and values V and capacity C, compute the maximum total value.
W = [62, 22, 51, 36, 19, 35, 57, 49, 22, 4, 58, 39, 55, 53, 54, 56, 50, 23, 49, 25, 25, 10, 60, 42, 30, 50, 10, 37, 14, 16, 50, 3]
V = [54, 104, 117, 101, 65, 21, 61, 102, 26, 74, 116, 74, 65, 112, 119, 62, 89, 83, 60, 89, 6, 65, 31, 124, 83, 77, 14, 10, 69, 101, 104, 46]
C = 583"
4,ilp_partition,8,1,1,1,7,0,"{'ok': True, 'value': 3, 'stdout': '3\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10462069511413574}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [9, 22, 12, 7, 22, 6, 14, 3]"
5,add,4,11357,11357,1,11357,1,"{'ok': True, 'value': 11357, 'stdout': '11357\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10490179061889648}",1,Compute: 4886 + 6471
6,ilp_partition,4,0,1,0,0,1,"{'ok': True, 'value': 0, 'stdout': '0\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1220390796661377}",1,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [9, 7, 4, 12]"
7,sub,2,14,14,1,14,1,"{'ok': True, 'value': 14, 'stdout': '14\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10358715057373047}",1,Compute: 48 - 34
8,ilp_assign,4,19,18,0,0,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'no_fenced_code', 'retcode': None, 'timeout': False, 'duration_s': 0.0}",0,"Assignment problem: Given an n×n cost matrix C, assign each worker to one task minimizing the total cost. Return the minimum total cost as an integer. 
C = [[10, 3, 12, 5], [12, 12, 6, 1], [12, 12, 11, 5], [8, 8, 3, 11]]"
9,ilp_partition,16,1,10,0,1,1,"{'ok': True, 'value': 80, 'stdout': '80\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10616040229797363}",0,"Partition: Split the items into two groups to minimize the absolute difference between the sums. Return the minimum difference as an integer.
weights = [33, 20, 6, 30, 15, 11, 37, 38, 38, 14, 34, 19, 38, 42, 37, 31]"
10,sub,4,2910,2910,1,2910,1,"{'ok': True, 'value': 2910, 'stdout': '2910\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.1045083999633789}",1,Compute: 7548 - 4638
11,mul,8,2741065658243698,254282395,0,2741579172380000,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': '', 'retcode': -9, 'timeout': False, 'duration_s': 2.03946852684021}",0,Compute: 50856479 * 53898062
12,ilp_prod,32,489,450,0,394,0,"{'ok': False, 'value': None, 'stdout': '', 'stderr': 'Traceback (most recent call last):\n  File ""/tmp/cot_exec_xcm9eydf/main.py"", line 7, in <module>\n    x = [pulp.LpVariable(f""x_{i}"", lowBound=0, cat=\'Integer\') for i in range(len(profit))]\nNameError: name \'profit\' is not defined\n', 'retcode': 1, 'timeout': False, 'duration_s': 0.3633003234863281}",0,"Production planning: Choose integer quantities x_j ≥ 0 to maximize total profit sum_j profit[j]*x_j, subject to resource constraints sum_j consumption[i][j]*x_j ≤ capacity[i]. Return the max profit.
profit = [70, 40, 93, 17, 85, 56]
consumption (rows=resources) = [[31, 26, 8, 32, 7, 5], [27, 29, 20, 16, 18, 2], [18, 9, 19, 30, 10, 19], [29, 11, 28, 20, 18, 14]]
capacity = [85, 94, 79, 114]
upper_bounds = [3, 3, 4, 3, 5, 4]"
13,add,8,77683033,77691023,0,77683033,1,"{'ok': True, 'value': 77683033, 'stdout': '77683033\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09696388244628906}",1,Compute: 27091909 + 50591124
14,add,32,99789491944271358080772359553744,1,0,99789491944279358173372339553844,0,"{'ok': True, 'value': 99789491944271358080772359553744, 'stdout': '99789491944271358080772359553744\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.09550666809082031}",1,Compute: 52816841241080622149399774443918 + 46972650703190735931372585109826
15,sub,16,2288339688250285,2288539696381957,0,2288139688248285,0,"{'ok': True, 'value': 2288339688250285, 'stdout': '2288339688250285\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.13409733772277832}",1,Compute: 8215134696381957 - 5926795008131672
16,lcs,4,2,3,0,3,0,"{'ok': True, 'value': 2, 'stdout': '2\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10515141487121582}",1,"Compute the length of the Longest Common Subsequence (LCS) between strings:
S = ""dcbd""
T = ""acdba"""
17,sub,32,25365530629673890897110796398826,0,0,25417560530703982897413656368823,0,"{'ok': True, 'value': 25365530629673890897110796398826, 'stdout': '25365530629673890897110796398826\n', 'stderr': '', 'retcode': 0, 'timeout': False, 'duration_s': 0.10760211944580078}",1,Compute: 73422899588041781401857967250178 - 48057368958367890504747170851352
